Category,Skill,AI_Extracted,Manual_Correction,Notes
Strategic Leadership & Management,Team Leadership,AI_Extracted,,
Strategic Leadership & Management,"Project Management (Agile, Waterfall, SCRUM Master)",AI_Extracted,,
Strategic Leadership & Management,Vendor Management,AI_Extracted,,
Strategic Leadership & Management,ITIL,AI_Extracted,,
Strategic Leadership & Management,SDLC,AI_Extracted,,
Strategic Leadership & Management,Process Engineering,AI_Extracted,,
Strategic Leadership & Management,Planning & Budgeting,AI_Extracted,,
Strategic Leadership & Management,Outsourcing,AI_Extracted,,
Data & Analytics,Data Strategy,AI_Extracted,,
Data & Analytics,ETL Pipeline Design & Implementation,AI_Extracted,,
Data & Analytics,Data Modeling (Normalized Structures),AI_Extracted,,
Data & Analytics,Data Governance,AI_Extracted,,
Data & Analytics,SQL Server,AI_Extracted,,
Data & Analytics,Power BI,AI_Extracted,,
Data & Analytics,Operational Data Warehouses,AI_Extracted,,
Data & Analytics,Data Analysis,AI_Extracted,,
Data & Analytics,Reporting,AI_Extracted,,
Data & Analytics,AI Model Development (Categorization),AI_Extracted,,
Data & Analytics,Machine Learning (ML),AI_Extracted,,
Automation & Systems,"Robotic Process Automation (RPA - UiPath, Power Automate)",AI_Extracted,,
Automation & Systems,API Development & Integration,AI_Extracted,,
Automation & Systems,System Automation,AI_Extracted,,
Automation & Systems,"ERP Systems (Oracle 11i, Pronto, SAP, AS400)",AI_Extracted,,
Automation & Systems,"CRM (Microsoft CRM, Salesforce)",AI_Extracted,,
Automation & Systems,MRP (Infor),AI_Extracted,,
Automation & Systems,Office 365,AI_Extracted,,
Automation & Systems,Azure,AI_Extracted,,
Automation & Systems,AWS,AI_Extracted,,
Automation & Systems,Zabbix,AI_Extracted,,
Automation & Systems,VDI,AI_Extracted,,
Automation & Systems,Apigee,AI_Extracted,,
Key Technologies,Python,AI_Extracted,,
Key Technologies,SQL Server,AI_Extracted,,
Key Technologies,Azure Data Factory,AI_Extracted,,
Key Technologies,Databricks,AI_Extracted,,
Key Technologies,CI/CD,AI_Extracted,,
Key Technologies,UiPath,AI_Extracted,,
Key Technologies,Azure,AI_Extracted,,
Key Technologies,SSIS,AI_Extracted,,
Key Technologies,Power Automate,AI_Extracted,,
Key Technologies,Office 365,AI_Extracted,,
Key Technologies,SAP,AI_Extracted,,
Key Technologies,IDS(AS400),AI_Extracted,,
Key Technologies,ERA,AI_Extracted,,
Key Technologies,Autoline,AI_Extracted,,
Key Technologies,SAP Commerce cloud,AI_Extracted,,
Key Technologies,Emarsys,AI_Extracted,,
Key Technologies,Salesforce Marketing Cloud,AI_Extracted,,
Key Technologies,Oracle 11i eBS,AI_Extracted,,
Key Technologies,"BI (Cognos, TM1, Yellowfin, SSRS)",AI_Extracted,,
Key Technologies,Microsoft Exchange,AI_Extracted,,
Key Technologies,SharePoint,AI_Extracted,,
Key Technologies,Lync,AI_Extracted,,
Key Technologies,.NET,AI_Extracted,,
Key Technologies,Cursor,AI_Extracted,,
Key Technologies,ChatGPT Suite,AI_Extracted,,
Key Technologies,Loveable,AI_Extracted,,
Key Technologies,Gemini Suite,AI_Extracted,,
